Year,American,Continental,Delta,Northwest,United,US Airways,America West, --sub Network,Southwest,jetBlue,AirTran,Frontier,Virgin America, --sub LCC,Alaska,Hawaiian,Spirit,Allegiant, -- sub Other,Total All Sectors
1995,79567182.0,35284189.0,86963085.0,49370005.0,78807932.0,57035260.0,16848329.0,403875982.00000006,50151362.0,0.0,497599.0,611451.0,0.0,51260412.00000001,10139128.0,4926466.0,678005.0,0.0,15743599.0,470879993.00000006
1996,79387628.0,35984116.0,97268562.0,52722136.0,81944830.0,56894285.0,18178063.0,422379620.00000006,55490793.0,0.0,1075371.0,1283378.0,0.0,57849541.99999999,11804938.0,5340302.0,750007.0,0.0,17895247.0,498124409.00000006
1997,81138330.0,38965779.0,103207867.0,54704317.0,84247098.0,58814445.0,18331351.0,439409187.00000006,51669196.0,0.0,1085288.0,1278127.0,0.0,54032611.00000001,12283258.0,5188656.0,1093321.0,0.0,18565235.0,512007033.00000006
1998,81476833.0,41691408.0,103724605.0,50538811.0,86868185.0,58094384.0,17791959.0,440186185.0,59177010.0,0.0,4589806.0,1529975.0,0.0,65296791.0,13055941.0,5264589.0,1551130.0,0.0,19871660.0,525354635.99999994
1999,81507894.0,44012311.0,105529015.0,54764430.0,86580996.0,55892647.0,18703566.0,446990859.0,65485500.0,0.0,6457696.0,2176024.0,0.0,74119220.0,13619767.0,5692040.0,2496165.0,0.0,21807972.0,542918051.0
2000,86382135.0,45409245.0,105709077.0,56927032.0,83913300.0,59830431.0,19954018.0,458125237.99999994,72710320.0,1128146.0,7547350.0,2892792.0,0.0,84278608.0,13524685.0,6271183.0,3221261.0,129687.00000000001,23146816.0,565550662.0
2001,78178705.0,42780215.0,94179938.0,52373970.0,75181720.0,56148005.0,19594293.0,418436845.99999994,73742879.0,3056371.0,8302732.0,2997968.0,0.0,88099950.0,13667470.0,5830409.0,3274123.0,67157.0,22839159.0,529375954.99999994
2002,94130352.0,40009089.0,90924099.0,51827440.0,68494278.0,47167584.0,19451122.0,412003963.99999994,72515950.0,5672638.0,9660141.0,3737673.0,0.0,91586402.0,14153286.0,5861320.0,3686807.0,189406.0,23890819.0,527481184.99999994
2003,88888929.0,38936200.0,84246369.0,51975656.0,66101151.0,41264287.0,20048414.0,391461006.00000006,74788288.0,8949744.0,11657851.0,5071163.0,0.0,100467046.0,15070339.0,5682956.0,4110591.9999999995,485467.0,25349354.0,517277406.00000006
2004,91619665.0,40745993.0,86901935.0,55446115.0,70880444.0,42408295.0,21132430.0,409134877.0,81150157.0,11731733.0,13178118.0,6437921.0,0.0,112497929.00000001,16294555.0,5612859.0,4592640.0,841110.0,27341164.0,548973970.0
2005,98098330.0,42822264.0,86105101.0,56537115.0,66801528.99999999,41869238.0,22129870.0,414363447.0,88473713.0,14681039.0,16619286.0,7349742.0,0.0,127123780.0,16758940.999999998,5839536.0,4507560.0,1204467.0,28310504.0,569797730.9999999
2006,98098330.0,46775919.0,73654538.0,54887676.0,69325082.0,57685648.0,0.0,400427193.0,96349391.0,18507003.0,20046956.0,8934447.0,0.0,143837797.00000003,17164501.0,6204313.0,4477169.0,2187220.0,30033203.0,574298193.0
2007,98200398.0,49005712.0,73051485.0,53736983.0,68385937.0,57865666.0,0.0,400246181.0,101989972.0,21304722.0,23761073.0,10400172.0,383625.0,157839563.99999997,17559002.0,7098771.0,6902602.0,3272013.0,34832388.0,592918132.9999999
2008,92817605.0,46964788.0,71727996.0,48920621.0,63149733.0,54820010.0,0.0,378400752.99999994,102041896.0,21824403.0,24619120.0,10640737.0,2564629.0,161690784.99999997,16809469.0,7857461.0,6819875.0,4292432.0,35779237.0,575870774.9999999
2009,85783035.0,44019037.0,67852225.0,41116559.0,56082619.0,51016486.0,0.0,345869961.0,101429689.0,22392322.0,23997810.0,9494913.0,3747220.0,161061954.0,15561087.0,8344839.0,6088588.0,5319764.0,35314278.0,542246193.0
2010,86203276.0,43568258.0,111235732.0,0.0,54099291.0,51853197.0,0.0,346959754.0,106307266.0,24216697.0,24721225.0,9251839.0,3891100.0,168388127.0,16514348.999999998,8424049.0,6750835.0,5882400.0,37571633.0,552919514.0
2011,86150335.0,45282284.0,113856873.0,0.0,50501504.0,52958806.0,0.0,348749802.0,110645895.0,26373065.0,24705380.0,10621657.0,5006329.0,177352326.0,17809881.0,8665783.0,8296297.000000001,6148100.0,40920061.0,567022189.0
2012,86464899.0,0.0,116910335.0,0.0,92567039.0,54276800.0,0.0,350219073.0,134070163.0,28966808.0,0.0,10701955.0,6220081.0,179959006.99999997,18525730.0,9484204.0,10176191.0,6973955.0,45160080.0,575338159.9999999
2013,87001722.0,0.0,120718462.0,0.0,90331500.0,57045485.0,0.0,355097169.0,133245919.0,30459433.0,0.0,10672790.0,6329378.0,180707520.0,19737293.0,9932664.0,12098255.0,7241764.0,49009976.0,584814665.0
2014,88020842.0,0.0,129518665.0,0.0,90595277.0,57553597.0,0.0,365688381.0,135856371.0,32101740.0,0.0,12170028.0,6499659.0,186627798.0,20972229.0,10074185.0,13978786.0,8187645.0,53212845.0,605529024.0
2015,146814345.0,0.0,138854392.0,0.0,95555189.0,0.0,0.0,381223926.0,144678301.0,35130790.0,0.0,13104187.0,6993269.0,199906547.00000003,22868774.0,10459770.0,17629033.0,9560098.0,60517675.0,641648148.0
2016,144530418.0,0.0,143304739.0,0.0,100331924.0,0.0,0.0,388167081.0,151827582.0,38309040.0,0.0,14865971.0,8032369.0,213034962.0,24421480.0,10828305.0,20997732.0,11199126.0,67446643.00000001,668648686.0
2017,144921849.0,0.0,145896522.0,0.0,107416278.0,0.0,0.0,398234649.0,157766132.0,40016788.0,0.0,16799968.0,8398287.0,222981175.00000003,26110618.0,11299773.0,23812748.0,12397076.0,73620215.0,694836039.0
2018,148227868.0,0.0,152267103.0,0.0,113325432.0,0.0,0.0,413820403.00000006,163684092.0,42236283.0,0.0,19432848.0,0.0,225353223.0,35601050.0,11630320.0,28683265.0,13847439.0,89762074.00000001,728935700.0000001
